keyword,title,abstract,link,published,critical_category
Mental health,"Late Fusion Multi-task Learning for Semiparametric Inference with
  Nuisance Parameters","In the age of large and heterogeneous datasets, the integration of
information from diverse sources is essential to improve parameter estimation.
Multi-task learning offers a powerful approach by enabling simultaneous
learning across related tasks. In this work, we introduce a late fusion
framework for multi-task learning with semiparametric models that involve
infinite-dimensional nuisance parameters, focusing on applications such as
heterogeneous treatment effect estimation across multiple data sources,
including electronic health records from different hospitals or clinical trial
data. Our framework is two-step: first, initial double machine-learning
estimators are obtained through individual task learning; second, these
estimators are adaptively aggregated to exploit task similarities while
remaining robust to task-specific differences. In particular, the framework
avoids individual level data sharing, preserving privacy. Additionally, we
propose a novel multi-task learning method for nuisance parameter estimation,
which further enhances parameter estimation when nuisance parameters exhibit
similarity across tasks. We establish theoretical guarantees for the method,
demonstrating faster convergence rates compared to individual task learning
when tasks share similar parametric components. Extensive simulations and real
data applications complement the theoretical findings of our work while
highlight the effectiveness of our framework even in moderate sample sizes.",http://arxiv.org/abs/2507.07941v1,2025-07-10T17:27:04Z,General Tech & Society
Mental health,"ArteryX: Advancing Brain Artery Feature Extraction with Vessel-Fused
  Networks and a Robust Validation Framework","Cerebrovascular pathology significantly contributes to cognitive decline and
neurological disorders, underscoring the need for advanced tools to assess
vascular integrity. Three-dimensional Time-of-Flight Magnetic Resonance
Angiography (3D TOF MRA) is widely used to visualize cerebral vasculature,
however, clinical evaluations generally focus on major arterial abnormalities,
overlooking quantitative metrics critical for understanding subtle vascular
changes. Existing methods for extracting structural, geometrical and
morphological arterial features from MRA - whether manual or automated - face
challenges including user-dependent variability, steep learning curves, and
lack of standardized quantitative validations. We propose a novel
semi-supervised artery evaluation framework, named ArteryX, a MATLAB-based
toolbox that quantifies vascular features with high accuracy and efficiency,
achieving processing times ~10-15 minutes per subject at 0.5 mm resolution with
minimal user intervention. ArteryX employs a vessel-fused network based
landmarking approach to reliably track and manage tracings, effectively
addressing the issue of dangling/disconnected vessels. Validation on human
subjects with cerebral small vessel disease demonstrated its improved
sensitivity to subtle vascular changes and better performance than an existing
semi-automated method. Importantly, the ArteryX toolbox enables quantitative
feature validation by integrating an in-vivo like artery simulation framework
utilizing vessel-fused graph nodes and predefined ground-truth features for
specific artery types. Thus, the ArteryX framework holds promise for
benchmarking feature extraction toolboxes and for seamless integration into
clinical workflows, enabling early detection of cerebrovascular pathology and
standardized comparisons across patient cohorts to advance understanding of
vascular contributions to brain health.",http://arxiv.org/abs/2507.07920v1,2025-07-10T17:00:49Z,AI Alignment & Cognitive Governance
Mental health,DocCHA: Towards LLM-Augmented Interactive Online diagnosis System,"Despite the impressive capabilities of Large Language Models (LLMs), existing
Conversational Health Agents (CHAs) remain static and brittle, incapable of
adaptive multi-turn reasoning, symptom clarification, or transparent
decision-making. This hinders their real-world applicability in clinical
diagnosis, where iterative and structured dialogue is essential. We propose
DocCHA, a confidence-aware, modular framework that emulates clinical reasoning
by decomposing the diagnostic process into three stages: (1) symptom
elicitation, (2) history acquisition, and (3) causal graph construction. Each
module uses interpretable confidence scores to guide adaptive questioning,
prioritize informative clarifications, and refine weak reasoning links.
  Evaluated on two real-world Chinese consultation datasets (IMCS21, DX),
DocCHA consistently outperforms strong prompting-based LLM baselines (GPT-3.5,
GPT-4o, LLaMA-3), achieving up to 5.18 percent higher diagnostic accuracy and
over 30 percent improvement in symptom recall, with only modest increase in
dialogue turns. These results demonstrate the effectiveness of DocCHA in
enabling structured, transparent, and efficient diagnostic conversations --
paving the way for trustworthy LLM-powered clinical assistants in multilingual
and resource-constrained settings.",http://arxiv.org/abs/2507.07870v1,2025-07-10T15:52:04Z,AI Alignment & Cognitive Governance
Mental health,"DT4PCP: A Digital Twin Framework for Personalized Care Planning Applied
  to Type 2 Diabetes Management","Digital Twin (DT) technology has emerged as a transformative approach in
healthcare, but its application in personalized patient care remains limited.
This paper aims to present a practical implementation of DT in the management
of chronic diseases. We introduce a general DT framework for personalized care
planning (DT4PCP), with the core components being a real-time virtual
representation of a patient's health and emerging predictive models to enable
adaptive, personalized care. We implemented the DT4PCP framework for managing
Type 2 Diabetes (DT4PCP-T2D), enabling real-time collection of behavioral data
from patients with T2D, predicting emergency department (ED) risks, simulating
the effects of different interventions, and personalizing care strategies to
reduce ED visits. The DT4PCP-T2D also integrates social determinants of health
(SDoH) and other contextual data, offering a comprehensive view of the
patient's health to ensure that care recommendations are tailored to individual
needs. Through retrospective simulations, we demonstrate that integrating DTs
in T2D management can lead to significant advancements in personalized
medicine. This study underscores the potential of DT technology to
revolutionize chronic disease care.",http://arxiv.org/abs/2507.07809v1,2025-07-10T14:39:32Z,AI & Mental Health / Digital Twin
Mental health,Measuring AI Alignment with Human Flourishing,"This paper introduces the Flourishing AI Benchmark (FAI Benchmark), a novel
evaluation framework that assesses AI alignment with human flourishing across
seven dimensions: Character and Virtue, Close Social Relationships, Happiness
and Life Satisfaction, Meaning and Purpose, Mental and Physical Health,
Financial and Material Stability, and Faith and Spirituality. Unlike
traditional benchmarks that focus on technical capabilities or harm prevention,
the FAI Benchmark measures AI performance on how effectively models contribute
to the flourishing of a person across these dimensions. The benchmark evaluates
how effectively LLM AI systems align with current research models of holistic
human well-being through a comprehensive methodology that incorporates 1,229
objective and subjective questions. Using specialized judge Large Language
Models (LLMs) and cross-dimensional evaluation, the FAI Benchmark employs
geometric mean scoring to ensure balanced performance across all flourishing
dimensions. Initial testing of 28 leading language models reveals that while
some models approach holistic alignment (with the highest-scoring models
achieving 72/100), none are acceptably aligned across all dimensions,
particularly in Faith and Spirituality, Character and Virtue, and Meaning and
Purpose. This research establishes a framework for developing AI systems that
actively support human flourishing rather than merely avoiding harm, offering
significant implications for AI development, ethics, and evaluation.",http://arxiv.org/abs/2507.07787v1,2025-07-10T14:09:53Z,AI Alignment & Cognitive Governance
Capitalism,"Sustainability Transitions and Bending the Curve of Biodiversity
  Collapse in the Amazon Forest","This paper undertakes an analysis of deforestation in the Amazon area using a
pathways-based approach to sustainability. We ground the analysis primarily in
the sustainability transitions literature but also draw a bridge with
socio-ecological concepts which helps us to understand the nature of
transitions in this context. The concept of a deforestation system is developed
by examining the interplay of infrastructure, technologies, narratives, and
institutions. Drawing on a literature review and an in-depth case study of
Puerto Maldonado in Madre de Dios, Peru, the paper identifies three pathways
for addressing deforestation: optimisation, natural capital, and regenerative
change. We suggest that while the optimisation pathway provides partial
solutions through mitigation and compensation strategies, it often reinforces
extractivist logics. The study also underscores the limitations of natural
capital frameworks, which tend to rely on centralised governance and
market-based instruments while lacking broader social engagement. In contrast,
our findings emphasise the potential of regenerative strategies rooted in local
agency, community-led experimentation, and context-sensitive institutional
arrangements. The paper contributes to ongoing debates on biodiversity
governance by illustrating how the spatial and long-term dynamics of
deforestation interact, and why inclusive, territorially grounded pathways are
crucial for bending the curve of biodiversity loss.",http://arxiv.org/abs/2507.06663v1,2025-07-09T08:49:17Z,General Tech & Society
Capitalism,Concept Unlearning by Modeling Key Steps of Diffusion Process,"Text-to-image diffusion models (T2I DMs), represented by Stable Diffusion,
which generate highly realistic images based on textual input, have been widely
used. However, their misuse poses serious security risks. While existing
concept unlearning methods aim to mitigate these risks, they struggle to
balance unlearning effectiveness with generative retainability.To overcome this
limitation, we innovatively propose the Key Step Concept Unlearning (KSCU)
method, which ingeniously capitalizes on the unique stepwise sampling
characteristic inherent in diffusion models during the image generation
process. Unlike conventional approaches that treat all denoising steps equally,
KSCU strategically focuses on pivotal steps with the most influence over the
final outcome by dividing key steps for different concept unlearning tasks and
fine-tuning the model only at those steps. This targeted approach reduces the
number of parameter updates needed for effective unlearning, while maximizing
the retention of the model's generative capabilities.Through extensive
benchmark experiments, we demonstrate that KSCU effectively prevents T2I DMs
from generating undesirable images while better retaining the model's
generative capabilities. Our code will be released.",http://arxiv.org/abs/2507.06526v2,2025-07-09T03:55:58Z,"Capitalism, Automation & Algorithmic Culture"
Capitalism,Forex Trading Robot Using Fuzzy Logic,"In this study, we propose a fuzzy system for conducting short-term
transactions in the forex market. The system is designed to enhance common
strategies in the forex market using fuzzy logic, thereby improving the
accuracy of transactions. Traditionally, technical strategies based on
oscillator indicators have relied on predefined ranges for indicators such as
Relative Strength Index (RSI), Commodity Channel Indicator (CCI), and
Stochastic to determine entry points for trades. However, the use of these
classic indicators has yielded suboptimal results due to the changing nature of
the market over time. In our proposed approach, instead of employing classical
indicators, we introduce a fuzzy Mamdani system for each indicator. The results
obtained from these systems are then combined through voting to design a
trading robot. Our findings demonstrate a considerable increase in the
profitability factor compared to three other methods. Additionally, net profit,
gross profit, and maximum capital reduction are calculated and compared across
all approaches.",http://arxiv.org/abs/2507.06383v1,2025-07-08T20:33:30Z,General Tech & Society
Capitalism,Efficient Federated Learning with Timely Update Dissemination,"Federated Learning (FL) has emerged as a compelling methodology for the
management of distributed data, marked by significant advancements in recent
years. In this paper, we propose an efficient FL approach that capitalizes on
additional downlink bandwidth resources to ensure timely update dissemination.
Initially, we implement this strategy within an asynchronous framework,
introducing the Asynchronous Staleness-aware Model Update (FedASMU), which
integrates both server-side and device-side methodologies. On the server side,
we present an asynchronous FL system model that employs a dynamic model
aggregation technique, which harmonizes local model updates with the global
model to enhance both accuracy and efficiency. Concurrently, on the device
side, we propose an adaptive model adjustment mechanism that integrates the
latest global model with local models during training to further elevate
accuracy. Subsequently, we extend this approach to a synchronous context,
referred to as FedSSMU. Theoretical analyses substantiate the convergence of
our proposed methodologies. Extensive experiments, encompassing six models and
five public datasets, demonstrate that FedASMU and FedSSMU significantly
surpass baseline methods in terms of both accuracy (up to 145.87%) and
efficiency (up to 97.59%).",http://arxiv.org/abs/2507.06031v1,2025-07-08T14:34:32Z,General Tech & Society
Capitalism,"LIRA: Inferring Segmentation in Large Multi-modal Models with Local
  Interleaved Region Assistance","While large multi-modal models (LMMs) demonstrate promising capabilities in
segmentation and comprehension, they still struggle with two limitations:
inaccurate segmentation and hallucinated comprehension. These challenges stem
primarily from constraints in weak visual comprehension and a lack of
fine-grained perception. To alleviate these limitations, we propose LIRA, a
framework that capitalizes on the complementary relationship between visual
comprehension and segmentation via two key components: (1) Semantic-Enhanced
Feature Extractor (SEFE) improves object attribute inference by fusing semantic
and pixel-level features, leading to more accurate segmentation; (2)
Interleaved Local Visual Coupling (ILVC) autoregressively generates local
descriptions after extracting local features based on segmentation masks,
offering fine-grained supervision to mitigate hallucinations. Furthermore, we
find that the precision of object segmentation is positively correlated with
the latent related semantics of the <seg> token. To quantify this relationship
and the model's potential semantic inferring ability, we introduce the
Attributes Evaluation (AttrEval) dataset. Our experiments show that LIRA
achieves state-of-the-art performance in both segmentation and comprehension
tasks. Code will be available at https://github.com/echo840/LIRA.",http://arxiv.org/abs/2507.06272v1,2025-07-08T07:46:26Z,General Tech & Society
